Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,160.52,-68.19,0,top
C2,0.1uF,C_0402_1005Metric,164.8,-72.75,0,top
C3,0.1uF,C_0402_1005Metric,160.52,-69.18,0,top
C4,0.1uF,C_0402_1005Metric,166.22,-77.5,0,top
C5,0.1uF,C_0402_1005Metric,154.47,-77.15,180,top
C6,0.1uF,C_0402_1005Metric,154.75,-72.27,90,top
C7,0.1uF,C_0402_1005Metric,165.1,-71.75,0,top
C8,0.1uF,C_0402_1005Metric,162.2,-82.3,-90,top
C9,0.1uF,C_0402_1005Metric,161.2,-81.4,-90,top
C10,1uF,C_0402_1005Metric,163.22,-71.59,0,top
C11,0.1uF,C_0402_1005Metric,163.22,-69.61,0,top
C12,0.1uF,C_0402_1005Metric,163.22,-70.6,0,top
C13,10uF,C_0603_1608Metric,155.4,-55.4,180,top
C14,10uF,C_0603_1608Metric,159.4,-60.3,0,top
C15,33pF,C_0402_1005Metric,156.8,-85,90,top
C16,33pF,C_0402_1005Metric,162.07,-84.17,-90,top
C17,0.1uF,C_0402_1005Metric,157.545,-66.9,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,160.05,-49.25,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,151.16,-48.12,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,168.94,-96.38,180,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,157.51,-96.14,90,top
R1,5.1K,R_0402_1005Metric,162.24,-55.07,0,top
R2,5.1K,R_0402_1005Metric,158.95,-55.05,0,top
R3,27,R_0402_1005Metric,161.75,-71.04,-90,top
R4,27,R_0402_1005Metric,160.75,-71.04,-90,top
R5,1K,R_0402_1005Metric,160.18,-81.39,90,top
R6,1K,R_0402_1005Metric,154.51,-66.52,-90,top
R7,10K,R_0402_1005Metric,155.75,-72.27,-90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,156.78,-63.79,180,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,160.05,-76.25,0,top
U2,MCP1700x-120xxTT,SOT-23,157.5,-57.5,90,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,156.775,-68.65,0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,159.45,-84.17,180,top
